Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location
5344 32nd St,16011972.,Farrow Group,14055.00,HHF,07/27/2015,No,6,Chadsey Condon,42.343111,-83.117787,"location
(42.343111, -83.117787)"
5338 31st St,16011084.,Farrow Group,12900.00,Non-HHF,07/23/2015,No,6,Chadsey Condon,42.343489,-83.116588,"location
(42.343489, -83.116588)"
5369 30th St,16010793.,Farrow Group,22500.00,HHF,07/30/2015,No,6,Chadsey Condon,42.344083,-83.116392,"location
(42.344083, -83.116392)"
4433 Mcgraw,14001382.,Farrow Group,22500.00,HHF,08/27/2015,No,6,Midwest,42.345626,-83.114714,"location
(42.345626, -83.114714)"
5361 Lovett,14010756.,Farrow Group,13740.00,HHF,08/13/2015,No,6,Midwest,42.345382,-83.11371,"location
(42.345382, -83.11371)"
5353 Lovett,14010757.,Farrow Group,22500.00,HHF,08/13/2015,No,6,Midwest,42.345315,-83.113648,"location
(42.345315, -83.113648)"
5379 Lovett,14010753.,Farrow Group,13635.00,HHF,07/31/2015,No,6,Midwest,42.34565,-83.113748,"location
(42.34565, -83.113748)"
8791 Homer,20002753.,ABC Demolition,8150.00,HHF,05/06/2016,No,6,Springwells,42.30216,-83.129736,"location
(42.30216, -83.129736)"
8816 Olivet,20002120.,Futurenet Group,7804.00,Non-HHF,10/24/2014,No,6,Springwells,42.29939,-83.128409,"location
(42.29939, -83.128409)"
6871 Mettetal,22060893.,"Adamo Group, Inc.",18786.00,HHF,08/14/2015,No,7,Warren Ave Community,42.342369,-83.20514,"location
(42.342369, -83.20514)"
12003 Laing,21058049.,Rickman Enterprise Group,15430.00,HHF,04/13/2017,No,4,Denby,42.425467,-82.954956,"location
(42.425467, -82.954956)"
10395 Somerset,21067383.,Salenbien Trucking & Excavating Inc.,24572.50,HHF,07/25/2018,No,4,Yorkshire Woods,42.417,-82.949146,"location
(42.417, -82.949146)"
14432 Westwood,22089495.,Salenbien Trucking & Excavating Inc.,6093.75,HHF,03/23/2017,No,1,Westwood Park,42.393059,-83.231911,"location
(42.393059, -83.231911)"
15750 Holmur,12012439.,Blue Star,17924.20,HHF,09/13/2018,No,2,Pilgrim Village,42.40712,-83.137148,"location
(42.40712, -83.137148)"
6766 Penrod,22077493.,"Adamo Group, Inc.",18764.00,HHF,08/14/2015,No,7,Warrendale,42.340744,-83.219149,"location
(42.340744, -83.219149)"
6523 Ashton,22075976.,"Adamo Group, Inc.",8068.00,HHF,08/19/2015,No,7,Warrendale,42.33927,-83.217352,"location
(42.33927, -83.217352)"
6507 Ashton,22075978.,"Adamo Group, Inc.",10936.00,HHF,08/19/2015,No,7,Warrendale,42.339051,-83.217341,"location
(42.339051, -83.217341)"
13592 Penrod,22077753.,Homrich,12900.00,HHF,06/11/2015,No,1,Schoolcraft Southfield,42.385678,-83.220614,"location
(42.385678, -83.220614)"
12944 Ashton,22074942.,Homrich,10200.00,HHF,06/11/2015,No,1,Schoolcraft Southfield,42.384153,-83.218158,"location
(42.384153, -83.218158)"
14246 Plainview,22093884-5,Homrich,13300.00,HHF,06/23/2015,No,1,Westwood Park,42.390814,-83.235492,"location
(42.390814, -83.235492)"
14421 Auburn,22092648.,Homrich,13400.00,HHF,06/23/2015,No,1,Westwood Park,42.392829,-83.235052,"location
(42.392829, -83.235052)"
14131 Minock,22091302.,Homrich,13800.00,HHF,06/15/2015,No,1,Westwood Park,42.389317,-83.233691,"location
(42.389317, -83.233691)"
13975 Minock,22091320.,Homrich,16200.00,HHF,06/15/2015,No,1,Westwood Park,42.387497,-83.233613,"location
(42.387497, -83.233613)"
20297 Bloom,13015353.,DMC Consultants,10023.75,HHF,08/11/2015,No,3,Farwell,42.445773,-83.049951,"location
(42.445773, -83.049951)"
20314 Bloom,13015323-4,DMC Consultants,10578.00,HHF,08/14/2015,No,3,Farwell,42.44598,-83.049381,"location
(42.44598, -83.049381)"
20292 Bloom,13015321.,DMC Consultants,9152.25,HHF,08/14/2015,No,3,Farwell,42.445736,-83.049372,"location
(42.445736, -83.049372)"
20270 Bloom,13015318.,DMC Consultants,10451.00,HHF,08/11/2015,No,3,Farwell,42.445407,-83.049362,"location
(42.445407, -83.049362)"
20232 Bloom,13015313.,DMC Consultants,12229.50,HHF,08/11/2015,No,3,Farwell,42.444887,-83.049342,"location
(42.444887, -83.049342)"
20096 Bloom,13015305.,DMC Consultants,11146.00,HHF,08/11/2015,No,3,Farwell,42.443915,-83.049294,"location
(42.443915, -83.049294)"
6135 Comstock,13005233.,Homrich,11800.00,HHF,07/01/2015,No,3,Airport Sub,42.398439,-83.038773,"location
(42.398439, -83.038773)"
4650 Mt Elliott,15014070.,Homrich,16400.00,HHF,09/01/2015,No,5,Gratiot Town/Ketterring,42.368144,-83.025744,"location
(42.368144, -83.025744)"
4640 Mt Elliott,15014068.,Homrich,17800.00,HHF,10/15/2015,No,5,Gratiot Town/Ketterring,42.367996,-83.025644,"location
(42.367996, -83.025644)"
4643 Meldrum,15013666.,Homrich,15000.00,HHF,07/07/2015,No,5,Gratiot Town/Ketterring,42.368262,-83.025132,"location
(42.368262, -83.025132)"
4430 Mt Elliott,15014055.,Homrich,16800.00,HHF,07/22/2015,No,5,Gratiot Town/Ketterring,42.366868,-83.024906,"location
(42.366868, -83.024906)"
4619 Meldrum,15013670.,Homrich,16200.00,HHF,07/14/2015,No,5,Gratiot Town/Ketterring,42.368013,-83.024803,"location
(42.368013, -83.024803)"
4833 Concord,15011596.,Homrich,14100.00,HHF,07/09/2015,No,5,Gratiot Town/Ketterring,42.371893,-83.022527,"location
(42.371893, -83.022527)"
4821 Concord,15011599.,Homrich,14200.00,HHF,07/09/2015,No,5,Gratiot Town/Ketterring,42.371731,-83.02246,"location
(42.371731, -83.02246)"
4767 Concord,15011606.,DMC Consultants,18426.00,HHF,10/04/2017,No,5,Gratiot Town/Ketterring,42.371076,-83.022023,"location
(42.371076, -83.022023)"
4755 Concord,15011608.,Homrich,15900.00,HHF,07/09/2015,No,5,Gratiot Town/Ketterring,42.370928,-83.021925,"location
(42.370928, -83.021925)"
4821 Canton,15010361.,Homrich,12800.00,HHF,07/07/2015,No,5,Gratiot Town/Ketterring,42.371906,-83.021307,"location
(42.371906, -83.021307)"
4757 Canton,15010368.,Homrich,15500.00,HHF,07/07/2015,No,5,Gratiot Town/Ketterring,42.371377,-83.020955,"location
(42.371377, -83.020955)"
4867 Helen,15009677.,Homrich,15600.00,HHF,07/13/2015,No,5,Gratiot Town/Ketterring,42.372818,-83.020729,"location
(42.372818, -83.020729)"
4412 Concord,15010861.,Homrich,21500.00,HHF,07/13/2015,No,5,Gratiot-Grand,42.368532,-83.019573,"location
(42.368532, -83.019573)"
12151 Patton,22104710.,Homrich,15160.00,HHF,07/13/2016,No,7,Weatherby,42.37618,-83.242907,"location
(42.37618, -83.242907)"
11735 Stout,22101984.,Homrich,12630.00,HHF,07/13/2016,No,7,Weatherby,42.3739,-83.240401,"location
(42.3739, -83.240401)"
11737 Vaughan,22098486.,Blue Star,16718.00,HHF,10/30/2018,No,7,Weatherby,42.373897,-83.237953,"location
(42.373897, -83.237953)"
1060 Manistique,21061009.,Homrich,15200.00,HHF,07/24/2015,No,4,Riverbend,42.375039,-82.941625,"location
(42.375039, -82.941625)"
1052 Manistique,21061008.,Homrich,20600.00,HHF,07/24/2015,No,4,Riverbend,42.374964,-82.941577,"location
(42.374964, -82.941577)"
2572 Philip,21060117.,Homrich,12900.00,HHF,07/27/2015,No,4,Riverbend,42.382314,-82.947505,"location
(42.382314, -82.947505)"
2658 Ashland,21062090.,Homrich,19200.00,HHF,07/23/2015,No,4,Riverbend,42.384053,-82.946382,"location
(42.384053, -82.946382)"
2545 Ashland,21062376.,Homrich,16600.00,HHF,07/22/2015,No,4,Riverbend,42.382478,-82.945998,"location
(42.382478, -82.945998)"
2647 Alter,21063145.,Able Demolition,21008.00,Non-HHF,02/20/2015,Yes,4,Riverbend,42.384051,-82.94593,"location
(42.384051, -82.94593)"
2564 Ashland,21062074.,Homrich,12900.00,HHF,07/23/2015,No,4,Riverbend,42.38287,-82.9456,"location
(42.38287, -82.9456)"
2652 Alter,21062786.,Able Demolition,17245.75,Non-HHF,02/03/2015,No,4,Riverbend,42.384299,-82.945437,"location
(42.384299, -82.945437)"
1281 Philip,21060714.,Homrich,19100.00,HHF,07/27/2015,No,4,Riverbend,42.377273,-82.944876,"location
(42.377273, -82.944876)"
2144 Ashland,21062051.,Homrich,15000.00,HHF,07/22/2015,No,4,Riverbend,42.380846,-82.944263,"location
(42.380846, -82.944263)"
3573 Lovett,14010855.,ABC Demolition,10250.00,HHF,05/16/2016,No,6,Chadsey Condon,42.333167,-83.104718,"location
(42.333167, -83.104718)"
9558 Hayes,21056371.,Homrich,13176.00,HHF,04/19/2018,No,4,Outer Drive-Hayes,42.410272,-82.96422,"location
(42.410272, -82.96422)"
9236 Hayes,21056345.,DMC Consultants,18980.00,HHF,07/25/2017,No,4,Outer Drive-Hayes,42.407569,-82.964102,"location
(42.407569, -82.964102)"
11801 Duchess,21057876.,Rickman Enterprise Group,16683.60,HHF,07/05/2017,No,4,Denby,42.423059,-82.958049,"location
(42.423059, -82.958049)"
19342 Lenore,22123448.,Rickman Enterprise Group,10580.00,HHF,10/09/2015,No,1,Five Points,42.432266,-83.280679,"location
(42.432266, -83.280679)"
20030 Santa Rosa,16020316.,"Adamo Group, Inc.",6029.00,HHF,08/05/2015,No,2,Garden Homes,42.440711,-83.143687,"location
(42.440711, -83.143687)"
