Code,Name,Address,City,State,Zip,Elementary (K-5) Student Count,Middle (6-8) Student Count,High School (9-12) Student Count,ISD Code,ISD Name,District Code,District Name,Entity Type,Entity County,Chartering Agency Code,Chartering Agency Authorizer,Charter Management Organization,Entity Authorized Grades,Entity Actual Grades,elementary,middle,high,location
9609,Frontier International Academy,13322 Conant St,Detroit,MI,48212,0,0,511,82,Wayne RESA,82987,Frontier International Academy,PSA School,Wayne,7838,Bay Mills Community College,Global Educational Excellence,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.412315918, -83.057952593)"
9619,Detroit Community Schools - Elementary,12675 Burt Rd,Detroit,MI,48223,252,146,0,82,Wayne RESA,82925,Detroit Community Schools,PSA School,Wayne,7838,Bay Mills Community College,Self-managed,"KG-Part,1,2,3,4,5,6,7,8","KG-Part,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3804000000001, -83.24745)"
9621,Covenant House Academy Detroit - East Site,7600 Goethe St,Detroit,MI,48214,0,0,194,82,Wayne RESA,82991,Covenant House Academy Detroit,PSA School,Wayne,5133,Grand Valley State University,Youth Vision Solutions,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3634200000001, -83.00762)"
9624,Covenant House Academy Detroit - Southwest Site,1450 25Th St,Detroit,MI,48216,0,0,149,82,Wayne RESA,82991,Covenant House Academy Detroit,PSA School,Wayne,5133,Grand Valley State University,Youth Vision Solutions,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3204900000001, -83.08532)"
9649,Covenant House Academy Detroit - Central Site,2959 Martin Luther King Jr Blvd,Detroit,MI,48208,0,0,193,82,Wayne RESA,82991,Covenant House Academy Detroit,PSA School,Wayne,5133,Grand Valley State University,Youth Vision Solutions,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3359800000001, -83.0886599999999)"
9705,Marvin L. Winans Academy - Elementary,9740 Mckinney St,Detroit,MI,48224,450,0,0,82,Wayne RESA,82924,Marvin L. Winans Academy of Performing Arts,PSA School,Wayne,4884,Saginaw Valley State University,Solid Rock Management Company,"KG-Part,1,2,3,4,5","KG-Part,1,2,3,4,5",1,0,0,"location
(42.41339, -82.94702)"
9785,Flagship Charter Academy,13661 Wisconsin Street,Detroit,MI,48238,473,223,0,82,Wayne RESA,82997,Flagship Charter Academy,PSA School,Wayne,5017,Central Michigan University,National Heritage Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.38809, -83.15655)"
9788,Turning Point Academy,12300 Linnhurst St,Detroit,MI,48205,9,35,31,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,"location
(42.4304300000001, -82.9989899999999)"
9830,Oakland International Academy - Middle,8228 Conant St,Detroit,MI,48211,60,147,0,82,Wayne RESA,63912,Oakland International Academy,PSA School,Wayne,4884,Saginaw Valley State University,Education Management & Networks (EMAN),"5,6,7,8","5,6,7,8",1,1,0,"location
(42.38996, -83.04301)"
9887,University Preparatory Academy (PSAD) - Elementary,957 Holden St,Detroit,MI,48202,355,0,0,82,Wayne RESA,82702,University Preparatory Academy (PSAD),PSA School,Wayne,5133,Grand Valley State University,Detroit 90/90,"KG-Part,1,2,3,4,5","KG-Part,1,2,3,4,5",1,0,0,"location
(42.3617, -83.07705)"
9888,University Preparatory Academy (PSAD) - Middle,5310 Saint Antoine St,Detroit,MI,48202,0,412,0,82,Wayne RESA,82702,University Preparatory Academy (PSAD),PSA School,Wayne,5133,Grand Valley State University,Detroit 90/90,"6,7,8","6,7,8",0,1,0,"location
(42.36242, -83.0579)"
9889,University Preparatory Academy (PSAD) - High School,600 Antoinette St,Detroit,MI,48202,0,0,583,82,Wayne RESA,82702,University Preparatory Academy (PSAD),PSA School,Wayne,5133,Grand Valley State University,Detroit 90/90,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3626, -83.07361)"
9907,University Preparatory Science and Math (PSAD) Middle School,5100 John R St,Detroit,MI,48202,0,456,0,82,Wayne RESA,82701,University Preparatory Science and Math (PSAD),PSA School,Wayne,5133,Grand Valley State University,Detroit 90/90,"6,7,8","6,7,8",0,1,0,"location
(42.3591700000001, -83.06235)"
9908,University Preparatory Academy (PSAD) - Elementary,435 Amsterdam St,Detroit,MI,48202,465,0,0,82,Wayne RESA,82702,University Preparatory Academy (PSAD),PSA School,Wayne,5133,Grand Valley State University,Detroit 90/90,"KG-Part,1,2,3,4,5","KG-Part,1,2,3,4,5",1,0,0,"location
(42.3655200000001, -83.07303)"
9991,Brewer Elementary-Middle School,18025 Brock St,Detroit,MI,48205,308,172,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.42868, -82.9637299999999)"
9992,"Clark, J.E. Preparatory Academy",15755 Bremen St,Detroit,MI,48224,298,210,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3942000000001, -82.9411699999999)"
9994,Hamilton Academy,14223 Southampton St,Detroit,MI,48213,211,80,0,82,Wayne RESA,82733,Hamilton Academy,PSA School,Wayne,82015,Detroit Public Schools Community District,"Educational Partnerships, Inc.","KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3986100000001, -82.9629199999999)"
3032,Detroit Prep,2411 Iroquois,Detroit,MI,48214,,,,82,Wayne RESA,82761,Detroit Prep,PSA School,Wayne,5133,Grand Valley State University,Self-managed,"KG,1,2,3,4,5,6,7,8","KG,1",1,0,0,"location
(42.36226, -82.99792)"
3043,Hope of Detroit Academy - Middle/High,4444 35Th Street,Detroit,MI,48210,,,,82,Wayne RESA,82957,Hope of Detroit Academy,PSA School,Wayne,1224,Ferris State University,Leona Group,"KG,1,2,3,4,5,6,7,8,9,10,11,12","5,6,7,8,9,10,11",1,1,1,"location
(42.3356900000001, -83.11582)"
3045,ACE Academy - Jefferson site,13330 E. Jefferson Avenue,Detroit,MI,48215,,,,82,Wayne RESA,82998,ACE Academy (SDA),PSA School,Wayne,5017,Central Michigan University,"edtec central, LLC","9,10,11,12","9,10,11,12",0,0,1,"location
(42.37102, -82.94886)"
3104,Marvin L. Winans Academy Middle School,9740 Mckinney,Detroit,MI,48224,,,,82,Wayne RESA,82924,Marvin L. Winans Academy of Performing Arts,PSA School,Wayne,4884,Saginaw Valley State University,Solid Rock Management Company,"6,7,8","6,7,8",0,1,0,"location
(42.41339, -82.94702)"
3180,Detroit Collegiate High School,5970 Audubon Road,Detroit,MI,48224,,,,82,Wayne RESA,82764,Detroit Collegiate High School,PSA School,Wayne,5133,Grand Valley State University,Equity Education,"9,10,11,12","9,10",0,0,1,"location
(42.40977, -82.94218)"
3241,Capestone Academy Charter School-Mayfield,15255 Mayfield,Detroit,MI,48205,,,,82,Wayne RESA,82752,Capstone Academy Charter School (SDA),PSA School,Wayne,82015,Detroit Public Schools Community District,"edtec central, LLC","6,7,8,9,10,11,12","6,7,8,9,10,11,12",0,1,1,"location
(42.4226400000001, -82.96405)"
3244,Capstone-Wayne Co. Juvenile Detention Fac.,1326 St. Antoine,Detroit,MI,48226,,,,82,Wayne RESA,82752,Capstone Academy Charter School (SDA),PSA School,Wayne,82015,Detroit Public Schools Community District,"edtec central, LLC","6,7,8,9,10,11,12","6,7,8,9,10,11,12",0,1,1,"location
(42.33705, -83.04065)"
