Code,Name,Address,City,State,Zip,Elementary (K-5) Student Count,Middle (6-8) Student Count,High School (9-12) Student Count,ISD Code,ISD Name,District Code,District Name,Entity Type,Entity County,Chartering Agency Code,Chartering Agency Authorizer,Charter Management Organization,Entity Authorized Grades,Entity Actual Grades,elementary,middle,high,location
4319,Bow Elementary-Middle School,19801 Prevost St,Detroit,MI,48235,308,148,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4368700000001, -83.20489)"
4406,Wayne Elementary School,10633 Courville St,Detroit,MI,48224,272,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.41571, -82.9563199999999)"
4413,Sampson Academy,4700 Tireman St,Detroit,MI,48204,227,112,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.35398, -83.1185399999999)"
4477,Western International High School,1500 Scotten St,Detroit,MI,48209,0,0,1878,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3186000000001, -83.09127)"
4500,GEE White Academy,5161 Charles St,Detroit,MI,48212,317,130,0,82,Wayne RESA,82732,GEE White Academy,PSA School,Wayne,82015,Detroit Public Schools Community District,Global Educational Excellence,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4123200000001, -83.0496199999999)"
5553,Carleton Elementary School,11724 Casino St,Detroit,MI,48224,295,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.4271800000001, -82.94569)"
5675,New Paradigm Glazer Academy,2001 La Belle St,Detroit,MI,48238,151,33,0,82,Wayne RESA,82735,New Paradigm Glazer-Loving Academy,PSA School,Wayne,82015,Detroit Public Schools Community District,New Paradigm For Education,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3995800000001, -83.11666)"
6074,Stewart Academy,13120 Wildemere St,Detroit,MI,48238,227,75,0,82,Wayne RESA,82751,Michigan Educational Choice Center,PSA School,Wayne,82015,Detroit Public Schools Community District,Phalen Leadership Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3895600000001, -83.12546)"
6103,Noble Elementary-Middle School,8646 Fullerton St,Detroit,MI,48238,374,141,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3814400000001, -83.1558199999999)"
6971,Renaissance High School,6565 West Outer Dr,Detroit,MI,48235,0,0,1134,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4181600000001, -83.19488)"
